### Module positions - created on 2022-02-22 18:10
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 26.600mm, Pcb Width 50.100mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U2            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 133.7500   -81.0000   132.7500   -82.9375     90.0    top       SMD
R16           1K                  R_0603                        138.2500   -79.0000   139.0750   -79.0000    180.0    top       SMD
SW1           Tamper              SW_PUSH_6mm_SMD               136.5000   -89.2500   140.7000   -87.0000      0.0    top       SMD
R10           100R                R_0603                        113.5000   -75.5000   113.5000   -74.6750    -90.0    top       SMD
R18           2K                  R_0603                        146.2500   -90.1250   146.2500   -90.9500     90.0    top       SMD
R24           1.8M 1% or NF       R_0603                        129.5000   -83.0000   129.5000   -83.8250     90.0    top       SMD
D5            RGB                 LED-RGB-1.6x1.6               148.0000   -90.1250   148.5000   -89.2500     90.0    top       SMD
J1            USB-C               USC16-TR-Round                149.9350   -82.7500   0.0000     0.0000       90.0    top       SMD
R23           3M 1% or NF         R_0603                        129.5000   -90.7500   129.5000   -91.5750     90.0    top       SMD
U5            LMR16006+FB         RegulatorBlockFB              122.5000   -79.4000   121.5500   -80.7500      0.0    top       SMD
R2            4k7                 R_0603                        149.2500   -76.5000   149.2500   -75.6750    -90.0    top       SMD
U1            ESP32-PICO-MINI-02  ESP32-PICO-MINI-02            112.0000   -85.7500   108.0000   -91.6500     90.0    top       SMD
R8            100R                R_0603                        117.5000   -75.5000   117.5000   -74.6750    -90.0    top       SMD
L2            6.8uH               Hidden                        126.4000   -79.4000   0.0000     0.0000        0.0    top       SMD
C11           10uF                Hidden                        127.9000   -90.7000   0.0000     0.0000       90.0    top       SMD
D7            Schottky            Hidden                        124.7800   -82.5700   0.0000     0.0000        0.0    top       SMD
C9            0.1uF               Hidden                        120.4000   -87.4000   0.0000     0.0000       90.0    top       SMD
D6            Schottky            Hidden                        124.7700   -90.3100   0.0000     0.0000        0.0    top       SMD
C10           2.2uF               Hidden                        121.6500   -90.7000   0.0000     0.0000       90.0    top       SMD
C14           10uF                Hidden                        127.9000   -82.9500   0.0000     0.0000       90.0    top       SMD
R20           100K                R_0603                        119.9500   -90.6500   119.9500   -89.8250    -90.0    top       SMD
R15           27R                 R_0603                        138.2500   -81.5000   137.4250   -81.5000      0.0    top       SMD
R9            100R                R_0603                        115.5000   -75.5000   115.5000   -74.6750    -90.0    top       SMD
R22           10M 1% or 0R        R_0603                        129.5000   -78.9000   129.5000   -78.0750    -90.0    top       SMD
R17           680R                R_0603                        143.2500   -90.1250   143.2500   -90.9500     90.0    top       SMD
R5            5K1                 R_0603                        141.7500   -80.5000   141.7500   -79.6750    -90.0    top       SMD
R12           100R                R_0603                        109.5000   -75.5000   109.5000   -74.6750    -90.0    top       SMD
R1            10k                 R_0603                        135.7500   -84.7500   135.7500   -83.9250    -90.0    top       SMD
R21           10M 1% or 0R        R_0603                        130.2500   -88.5000   131.0750   -88.5000    180.0    top       SMD
C13           2.2uF               Hidden                        121.6500   -82.9500   0.0000     0.0000       90.0    top       SMD
L1            6.8uH               Hidden                        126.4000   -87.1500   0.0000     0.0000        0.0    top       SMD
R4            5K1                 R_0603                        141.7500   -85.0000   141.7500   -84.1750    -90.0    top       SMD
R6            100R                R_0603                        121.5000   -75.5000   121.5000   -74.6750    -90.0    top       SMD
U3            G3VM-41GR8          Special-SOP-4-3.7x4.55        136.5000   -76.2500   139.5000   -77.5200     90.0    top       SMD
Q1            NX7002AK            SOT-23                        130.5000   -75.7500   131.4375   -76.7000    180.0    top       SMD
R3            10k                 R_0603                        145.7500   -77.2500   146.5750   -77.2500    180.0    top       SMD
D8            D                   D_1206_3216Metric_Pad1.42x1.. 146.2500   -75.5000   144.7625   -75.5000      0.0    top       SMD
R7            100R                R_0603                        119.5000   -75.5000   119.5000   -74.6750    -90.0    top       SMD
U4            LMR16006+FB         RegulatorBlockFB              122.5000   -87.1500   121.5500   -88.5000      0.0    top       SMD
R11           100R                R_0603                        111.5000   -75.5000   111.5000   -74.6750    -90.0    top       SMD
C1            0.1uF               C_0603                        131.7500   -84.7500   131.7500   -83.9750    -90.0    top       SMD
R13           100R                R_0603                        107.5000   -75.5000   107.5000   -74.6750    -90.0    top       SMD
C12           0.1uF               Hidden                        120.4000   -79.6500   0.0000     0.0000       90.0    top       SMD
R14           27R                 R_0603                        138.2500   -80.2500   137.4250   -80.2500      0.0    top       SMD
R19           220R                R_0603                        144.7500   -90.1250   144.7500   -90.9500     90.0    top       SMD
## End
