### Module positions - created on 2022-02-19 13:48
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 24.600mm, Pcb Width 36.100mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
R1            5K1                 R_0603                        94.6500    -134.1500  95.4750    -134.1500   180.0    top       SMD
J3            USB-C               USC16-TR-Round                97.0500    -142.3000  0.0000     0.0000        0.0    top       SMD
U3            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 104.7500   -130.0000  105.7500   -128.0625   -90.0    top       SMD
R2            5K1                 R_0603                        99.4500    -134.1500  100.2750   -134.1500   180.0    top       SMD
R6            732R                R_0603                        114.2000   -132.6500  114.2000   -133.4750    90.0    top       SMD
R7            2K                  R_0603                        116.5000   -132.6500  116.5000   -133.4750    90.0    top       SMD
R8            324R                R_0603                        115.3500   -132.6500  115.3500   -133.4750    90.0    top       SMD
D2            LED_RGBA            LED-RGB-1.6x1.6               118.7500   -132.6500  119.2500   -131.7750    90.0    top       SMD
D1            D                   D_1206_3216Metric             99.6000    -130.2000  99.6000    -128.8000   -90.0    top       SMD
C1            0.1uF               C_0603                        110.4500   -133.1500  109.6750   -133.1500     0.0    top       SMD
C2            0.1uF               Hidden                        100.0000   -121.0500  0.0000     0.0000       90.0    top       SMD
C3            2.2uF               Hidden                        101.2500   -124.3500  0.0000     0.0000       90.0    top       SMD
C4            10uF                Hidden                        107.5000   -124.3500  0.0000     0.0000       90.0    top       SMD
D3            Schottky            Hidden                        104.3800   -123.9700  0.0000     0.0000      180.0    top       SMD
L1            6.8uH               Hidden                        106.0000   -120.8000  0.0000     0.0000      180.0    top       SMD
U2            L96-M33             L96-M33                       89.6000    -124.8500  94.2000    -130.9000     0.0    top       SMD
U1            ESP32-PICO-MINI-02  ESP32-PICO-MINI-02            114.4567   -124.3500  118.4567   -118.4500   -90.0    top       SMD
R9            3M 1% or NF         R_0603                        99.1750    -118.5000  100.0000   -118.5000   180.0    top       SMD
U4            LMR16006+FB         RegulatorBlockFB              102.1000   -120.8000  101.1500   -122.1500     0.0    top       SMD
R3            500K                R_0603                        86.6500    -133.3000  87.4750    -133.3000   180.0    top       SMD
R5            10M 1% or 0R        R_0603                        98.3500    -120.5000  98.3500    -121.3250    90.0    top       SMD
R4            100K                R_0603                        89.3000    -133.3000  90.1250    -133.3000   180.0    top       SMD
## End
