Designator,Footprint,Quantity,Value,LCSC Part #
AJK1,AJK,1,AJK,
C1,C_0603,1,0.1uF,
"C10, C13",Hidden,2,2.2uF,
"C11, C14",Hidden,2,10uF,
"C12, C9",Hidden,2,0.1uF,
"C2, C3, C4, C5, C6, C7, C8",C_0603,7,33pF,
"D1, D2, D3, D4",SOT-363_SC-70-6,4,BAV99S,
D5,LED-RGB-1.6x1.6,1,RGB,
"D6, D7",Hidden,2,Schottky,
D8,1206,1,D,
H1,ISO7380-M3-Pad,1,MountingHole,
J1,USC16-TR-Round,1,USB-C,
J2,Molex_MiniSPOX_H4RA,1,RFID,
J3,Molex_MiniSPOX_H6RA,1,INPUTS,
J4,PinHeader_1x02_P2.54mm_Vertical,1,ExtTamper,
J5,Molex_MiniSPOX_H2RA,1,POWER,
J6,Molex_MiniSPOX_H3RA,1,DOOR,
JP1,PinHeader_1x02_P1.27mm_Vertical,1,12V,
"L1, L2",Hidden,2,6.8uH,
Q1,SOT-23,1,NX7002AK,
"R1, R3",R_0603,2,10k,
"R10, R11, R4, R5, R6, R7, R8, R9",R_0603,8,100R,
"R12, R13",R_0603,2,5K1,
"R14, R15",R_0603,2,27R,
R16,0603,1,1K,
R17,R_0603,1,732R,
R18,R_0603,1,2K,
R19,R_0603,1,324R,
R2,R_0603,1,4k7,
R20,R_0603,1,100K,
"R21, R22",R_0603,2,100k 1% or 0R,
R23,R_0603,1,30k 1% or NF,
R24,R_0603,1,18k 1% or NF,
SW1,ESE13,1,ESE13V01D,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
U3,Special-SOP-4-3.7x4.55,1,G3VM-41GR8,
"U4, U5",RegulatorBlockFB,2,LMR16006+FB,
U6,AA,1,AA,
U7,QR-SS,1,QR,
