Designator,Mid X,Mid Y,Rotation,Layer
AJK1,115.2,-91.025,180.0,bottom
C1,133.651992,-85.348008,225.0,top
C10,147.84,-96.91,180.0,top
C11,147.84,-90.66,180.0,top
C12,136.44,-98.15,180.0,top
C13,139.74,-96.9,180.0,top
C14,139.74,-90.65,180.0,top
C2,125.56,-80.04,0.0,top
C3,121.4,-79.7,0.0,top
C4,118.7,-79.7,180.0,top
C5,116.0,-79.7,0.0,top
C6,113.275,-79.7,180.0,top
C7,110.6,-79.7,0.0,top
C8,107.9,-79.7,180.0,top
C9,144.54,-98.16,180.0,top
D1,125.75,-77.75,0.0,top
D2,120.5,-77.75,0.0,top
D3,115.25,-77.75,0.0,top
D4,110.0,-77.75,0.0,top
D5,127.525,-87.9,270.0,top
D6,147.46,-93.78,90.0,top
D7,139.36,-93.77,90.0,top
D8,137.25,-88.0,0.0,top
J1,149.995,-80.1,90.0,top
J2,124.75,-72.65,180.0,top
J3,109.25,-72.65,180.0,top
J4,131.025,-91.75,270.0,top
J5,145.75,-72.65,180.0,top
J6,136.5,-72.65,180.0,top
JP1,137.8,-76.25,0.0,top
L1,144.29,-92.16,270.0,top
L2,136.19,-92.15,270.0,top
Q1,146.4,-88.0,0.0,top
R1,136.0,-79.7,0.0,top
R10,106.5,-74.75,0.0,top
R11,103.0,-74.75,0.0,top
R12,140.05,-76.75,90.0,top
R13,141.55,-76.75,270.0,top
R14,141.75,-86.0,0.0,top
R15,141.75,-87.5,0.0,top
R16,132.5,-79.5,180.0,top
R17,133.125,-87.9,0.0,top
R18,129.975,-87.1,0.0,top
R19,129.975,-88.8,0.0,top
R2,140.9,-89.0,0.0,top
R20,147.59,-99.16,0.0,top
R21,139.14,-99.3,0.0,top
R22,136.44,-99.3,180.0,top
R23,141.84,-99.3,180.0,top
R24,133.74,-99.3,0.0,top
R3,143.4,-89.0,0.0,top
R4,127.25,-74.75,0.0,top
R5,124.0,-74.75,0.0,top
R6,120.5,-74.75,0.0,top
R7,117.0,-74.75,0.0,top
R8,113.5,-74.75,0.0,top
R9,110.0,-74.75,0.0,top
SW1,129.8,-95.65,270.0,top
U1,115.755,-90.35,90.0,top
U2,137.5,-83.0,90.0,top
U3,132.5,-76.75,90.0,top
U4,144.29,-96.05,90.0,top
U5,136.19,-96.05,90.0,top
U6,144.1,-94.1,180.0,bottom
U7,109.8,-91.5,180.0,bottom
