Designator,Footprint,Quantity,Value,LCSC Part #
AJK1,AJK,1,AJK,
C1,C_0603,1,0.1uF,
C2,Hidden,1,0.1uF,
C3,Hidden,1,2.2uF,
C4,Hidden,1,10uF,
D1,LED-RGB-1.6x1.6,1,LED_RGBA,
D2,D_1206,1,D,
D3,Hidden,1,Schottky,
J1,USC16-TR-Round,1,USB-C,
J10,Molex_MiniSPOX_H2RA,1,O8,
"J11, J3",Molex_MiniSPOX_H2RA,2,O1,
J2,Molex_MiniSPOX_H2RA,1,POWER,
J4,Molex_MiniSPOX_H2RA,1,O2,
J5,Molex_MiniSPOX_H2RA,1,O3,
J6,Molex_MiniSPOX_H2RA,1,O4,
J7,Molex_MiniSPOX_H2RA,1,O5,
J8,Molex_MiniSPOX_H2RA,1,O6,
J9,Molex_MiniSPOX_H2RA,1,O7,
L1,Hidden,1,6.8uH,
"R1, R3",R_0603,2,10k,
R10,R_0603,1,220R,
R11,R_0603,1,100k 1% or 0R,
R12,R_0603,1,30k 1% or NF,
R2,R_0603,1,4k7,
"R4, R5",R_0603,2,5K1,
"R6, R7",R_0603,2,27R,
R8,R_0603,1,680R,
R9,R_0603,1,2K,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
"U3, U4, U5, U6",SO-8_3.9x4.9mm_P1.27mm,4,ISL89410,
U7,RegulatorBlockFB,1,LMR16006+FB,
U8,AA,1,AA,
