Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21",C_0603_,2,10uF 50V,C1591
"C10, C11, C12, C13, C14, C18, C24, C25, C26, C9",C_0402,10,100nF,
"C15, C22",C_0603_,2,10uF 6.3V,C1691
"C16, C23",C_0603_,2,100nF,
C17,C_0402,1,10uF,
C19,C_0402,1,22uF,
"C2, C3, C4, C5, C6, C7, C8",C_0402,7,33pF,
C20,C_0402,1,1uF,
"D1, D10, D2, D3, D4, D6, D8, D9",DFN1006-2L,8,~,C5137770
"D11, D12, D13, D14, D15, D16, D17, D18, D7",SMD1010,9,XL-1010RGBC-WS2812B,C5349953
"D19, D5",D_SOD-123,2,D,C1884542
J1,USB-C-Socket-H,1,USB-C,C709357
J2,PTSM-HH-4-RA,1,RFID,
J3,PTSM-HH-6-RA,1,INPUTS,
J4,USB-PROG,1,USB-PROG,
J5,PTSM-HH1-2-RA-W,1,POWER,
J6,PTSM-HH1-2-RA,1,DOOR2,
J7,PTSM-HH1-2-RA,1,DOOR1,
"L3, L4",L_4x4_,2,10uH,
Q2,SOT-323_SC-70,1,PMF250XNEX,C504047
"R1, R14",R_0402_,2,124k,
"R10, R11, R12, R13, R6, R7, R8, R9",R_0402,8,100R,
R15,R_0402_,1,39k2,
"R16, R25",R_0402,2,1K,
R2,R_0402_,1,23k2,
R26,R_0402,1,10K,
R27,R_0402_,1,1M,
"R4, R5",R_0402,2,5K1,
SW1,ESE13,1,ESE13V01D,
"U1, U2",SOT-23-6-MD8942,2,MD8942,C2684786
U10,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
"U3, U8",Special-SOP-4-3.7x4.55,2,G3VM-41GR8,C2691601
