Designator,Mid X,Mid Y,Rotation,Layer
C1,17.3,29.1,0,top
C15,17.3,24.1,0,top
C16,16.6,26.6,270,top
C17,11.8,30.1,180,top
C18,46.33,26.0,270,top
C19,47.33,26.0,270,top
C2,28.3,36.6,0,top
C20,29.0,24.0,0,top
C21,14.8,31.1,180,top
C22,14.6,36.1,180,top
C23,15.3,33.6,90,top
C3,24.7,37.7,180,top
C4,22.2,37.7,180,top
C5,19.7,37.7,180,top
C6,17.2,37.7,180,top
C7,14.7,37.7,180,top
C8,12.2,37.7,180,top
D1,25.3,34.7,270,top
D2,25.3,32.3,270,top
D3,25.3,29.9,270,top
D4,25.3,27.5,270,top
D5,57.1,38.45,0,top
D7,47.75,29.0,225,top
J1,54.84,27.7,0,top
J2,33.25,40.56,180,top
J3,18.85,40.56,180,top
J4,38.0,34.9,0,bottom
J5,56.45,40.55,180,top
J6,42.65,40.55,180,top
J7,49.55,40.56,180,top
J8,38.0,27.45,180,bottom
L3,14.0,26.6,270,top
L4,17.9,33.6,90,top
PCB1,35.0,35.0,0,top
Q2,27.0,38.2,90,top
R1,20.5,26.6,270,top
R10,19.7,38.7,0,top
R11,17.2,38.7,0,top
R12,14.7,38.7,0,top
R13,12.2,38.7,0,top
R14,11.4,33.6,90,top
R15,11.4,35.4,90,top
R16,47.8,31.8,90,top
R2,20.5,24.8,270,top
R25,50.3,31.8,90,top
R26,27.2,24.0,0,top
R27,11.4,31.8,90,top
R4,48.4,24.6,270,top
R5,49.3,24.6,90,top
R6,28.7,38.1,270,top
R7,29.7,38.1,270,top
R8,24.7,38.7,0,top
R9,22.2,38.7,0,top
SW1,57.05,35.2,270,top
U1,18.6,26.6,270,top
U10,38.0,31.0,180,top
U2,13.3,33.6,90,top
U3,48.01,35.1,180,top
U8,52.6,35.1,180,top
V1,35.0,47.7,0,top
V2,35.0,23.3,180,top
