Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,0.1uF,
"C10, C13",C_0805_,2,2.2uF,C19110
"C11, C14",C_0805_,2,10uF,C17024
"C12, C9",C_0603_,2,100nF,C30926
"C15, C16",C_0603,2,10nF,
C17,C_0805,1,10uF,
"C2, C3, C4, C5, C6, C7, C8",C_0603,7,33pF,
"D1, D2, D3, D4",SOT-363_SC-70-6,4,BAV99S,
D5,MHS190RGBCT,1,LED_BARG,C409798
"D6, D7",D_1206_,2,Schottky,C143805
"D8, D9",D_1206,2,D,C143805
J1,USC16-TR,1,USB-C,C709357
J2,PTSM-HH-4-RA,1,RFID,
J3,PTSM-HH-6-RA,1,INPUTS,
J5,PTSM-HH-2-RA,1,POWER,
J6,PTSM-HH-3-RA,1,DOOR2,
J7,PTSM-HH-3-RA,1,DOOR1,
"L1, L2",L_4x4_,2,6.8uH,C354575
Q1,SOT-23,1,NX7002AK,
Q2,SOT-323_SC-70,1,PMF250XNEX,C504047
"R1, R3",R_0603,2,10k,
"R10, R11, R12, R13, R19, R6, R7, R8, R9",R_0603,9,100R,
"R14, R15",R_0603,2,27R,
"R16, R18, R25",R_0603,3,1K,
R17,R_0603,1,300R,
R2,R_0603,1,4k7,
R20,R_0603,1,100K,
"R21, R22",R_0603,2,100k 1%,C14675
R23,R_0603,1,18k 1%,C114610
R24,R_0603,1,30k 1%,C100001
"R4, R5",R_0603,2,5K1,
SW1,ESE13,1,ESE13V01D,
U1,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,
"U3, U8",Special-SOP-4-3.7x4.55,2,G3VM-41GR8,C2691601
"U4, U5",SOT-23-Thin-6-Reg,2,LMR16006XDDCR,C87080
