Designator,Mid X,Mid Y,Rotation,Layer
C1,32.05,7.8,180.0,top
C10,21.65,1.8,90.0,top
C11,27.9,1.8,90.0,top
C12,20.4,12.85,90.0,top
C13,21.65,9.55,90.0,top
C14,27.9,9.55,90.0,top
C15,38.7,7.8,180.0,top
C16,23.5,17.0,270.0,top
C17,50.15,15.4,180.0,top
C2,17.0,24.975,90.0,bottom
C3,15.0,25.0,270.0,bottom
C4,13.0,25.0,270.0,bottom
C5,11.0,25.0,270.0,bottom
C6,9.0,25.0,270.0,bottom
C7,7.0,25.0,270.0,bottom
C8,5.0,25.0,270.0,bottom
C9,20.4,5.1,90.0,top
D1,18.0,22.5,270.0,bottom
D2,14.0,22.5,270.0,bottom
D3,10.0,22.5,270.0,bottom
D4,6.0,22.5,270.0,bottom
D5,56.55,2.3,270.0,top
D6,24.77,2.19,0.0,top
D7,24.78,9.93,0.0,top
D8,55.55,17.2,0.0,top
D9,50.85,17.2,180.0,top
J1,53.785,9.75,90.0,top
J2,24.3,19.8,180.0,top
J3,9.25,19.8,180.0,top
J4,24.23,24.4,0.0,top
J5,54.45,19.8,180.0,top
J6,35.6,19.8,180.0,top
J7,45.65,19.8,180.0,top
L1,26.4,5.35,0.0,top
L2,26.4,13.1,0.0,top
Q1,30.5,16.75,0.0,top
Q2,18.3,14.1,90.0,top
R1,36.0,7.8,0.0,top
R10,13.5,17.0,270.0,top
R11,11.5,17.0,270.0,top
R12,9.5,17.0,270.0,top
R13,7.5,17.0,270.0,top
R14,38.25,12.25,0.0,top
R15,38.25,11.0,0.0,top
R16,38.25,13.5,180.0,top
R17,54.55,2.5,90.0,top
R18,51.95,2.5,90.0,top
R19,53.25,2.5,90.0,top
R2,56.75,15.2,180.0,top
R20,19.95,2.15,270.0,top
R21,29.8,4.7,270.0,top
R22,29.5,13.6,270.0,top
R23,29.8,1.8,90.0,top
R24,29.5,9.6,90.0,top
R25,41.3,13.5,180.0,top
R3,54.05,15.2,180.0,top
R4,50.0,7.4,270.0,top
R5,50.0,12.0,270.0,top
R6,21.5,17.0,270.0,top
R7,19.5,17.0,270.0,top
R8,17.5,17.0,270.0,top
R9,15.5,17.0,270.0,top
SW1,38.8,4.35,270.0,top
U1,12.0,6.75,90.0,top
U2,33.75,11.5,0.0,top
U3,36.5,16.25,270.0,top
U4,22.5,5.35,90.0,top
U5,22.5,13.1,90.0,top
U8,44.15,16.25,270.0,top
