Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21",C_0603_,2,10uF 35V,C194427
"C11, C12, C13, C14, C18, C24, C25, C26, C9",C_0402,9,100nF,
"C15, C22",C_0603_,2,10uF 6.3V,C1691
"C16, C23",C_0603_,2,100nF,
C17,C_0402,1,10uF,
C19,C_0402,1,22uF,
"C2, C3, C4, C5, C6, C7, C8",C_0402,7,33pF,
C20,C_0402,1,1uF,
C27,C_1206,1,100uF 6.3V,
C28,C_1210,1,22uF 35V,
"D1, D10, D2, D3, D4, D6, D8, D9",DFN1006-2L,8,~,C5137770
"D11, D13, D14, D15, D16, D17, D18, D7",SMD1010,8,XL-1010RGBC-WS2812B,C5349953
"D19, D5",D_SOD-123,2,MBR0530,C5204746
J1,USB-C-Socket-H,1,USB-C,C709357
"J2, J5",WAGO-2060-452-998-404,2,NFC,C2765055
"J3, J9",WAGO-2060-453-998-404,2,I/O,C2765056
J6,WAGO-2060-453-998-404,1,GND,C2765056
J7,WAGO-2060-453-998-404,1,12V,C2765056
J8,WAGO-2060-452-998-404,1,DOOR,C2765055
"L3, L4",L_4x4_,2,10uH,C42428017
Q2,SOT-323_SC-70,1,PMF250XNEX,C504047
"R1, R14",R_0402_,2,124k,
"R10, R11, R12, R13, R6, R7, R8, R9",R_0402,8,100R,
R15,R_0402_,1,39k2,
R2,R_0402_,1,23k2,
R25,R_0402,1,1K,
R26,R_0402,1,10K,
R27,R_0402_,1,1M,
"R4, R5",R_0402,2,5K1,
SW1,ESE13,1,ESE13V01A,
"U1, U2",SOT-23-6-MD8942,2,MD8942,C2684786
U10,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U8,SO-4_4.4x4.3mm_P2.54mm,1,G3VM-41GR8,C2691601
