Designator,Mid X,Mid Y,Rotation,Layer
C1,14.25,24.85,90.0,top
C11,18.85,34.5,270.0,top
C12,16.35,34.5,270.0,top
C13,13.85,34.5,270.0,top
C14,11.35,34.5,270.0,top
C15,19.25,24.85,90.0,top
C16,16.75,24.15,0.0,top
C17,13.2,27.6,90.0,top
C18,7.1,29.4,90.0,top
C19,6.2,29.4,90.0,top
C2,23.05,34.5,270.0,top
C20,24.6,20.9,270.0,top
C21,12.05625,23.4,270.0,top
C22,7.05625,23.2,270.0,top
C23,9.55625,23.9,180.0,top
C24,8.85,34.5,270.0,top
C25,6.35,34.45,270.0,top
C26,50.2,34.5,270.0,top
C27,42.0,29.475,270.0,top
C28,21.4,21.2,180.0,top
C3,18.7,32.4,270.0,top
C4,16.2,32.4,270.0,top
C5,13.7,32.4,270.0,top
C6,11.2,32.4,270.0,top
C7,8.7,32.4,270.0,top
C8,6.2,32.4,270.0,top
C9,41.6,34.3,180.0,top
D1,20.5,32.475,270.0,top
D10,23.85,34.6,270.0,top
D11,43.5,35.0,45.0,top
D13,20.101,34.5,45.0,top
D14,17.601,34.5,45.0,top
D15,15.101,34.5,45.0,top
D16,12.601,34.5,45.0,top
D17,10.101,34.5,45.0,top
D18,7.601,34.5,45.0,top
D19,47.8,32.9,0.0,top
D2,17.9,32.475,270.0,top
D3,15.4,32.475,270.0,top
D4,12.9,32.475,270.0,top
D5,43.4,32.9,180.0,top
D6,10.4,32.5,270.0,top
D7,47.5,35.0,45.0,top
D8,7.9,32.45,270.0,top
D9,21.45,33.725,90.0,top
J1,46.1,24.419999999999998,0.0,top
J2,58.0,31.6,180.0,top
J3,23.6,42.0,270.0,top
J5,58.0,23.5,180.0,top
J6,58.6,42.0,270.0,top
J7,45.6,42.0,270.0,top
J8,34.6,42.5,270.0,top
J9,11.5,42.0,270.0,top
L3,16.75,21.55,0.0,top
L4,9.55625,26.5,180.0,top
Q2,23.6,32.1,180.0,top
R1,16.75,28.05,0.0,top
R10,14.6,32.4,270.0,top
R11,12.1,32.4,270.0,top
R12,9.6,32.4,270.0,top
R13,7.1,32.4,270.0,top
R14,9.55625,20.0,180.0,top
R15,7.75625,20.0,180.0,top
R2,18.55,28.05,0.0,top
R25,50.1,29.75,180.0,top
R26,24.6,22.7,270.0,top
R27,11.35625,20.0,180.0,top
R4,41.1,24.8,90.0,top
R5,41.1,23.1,90.0,top
R6,22.25,33.9,270.0,top
R7,24.65,34.45,270.0,top
R8,19.6,32.4,270.0,top
R9,17.1,32.4,270.0,top
SW1,22.4,25.7,90.0,top
U1,16.75,26.15,0.0,top
U10,33.0,27.5,180.0,top
U2,9.55625,21.9,180.0,top
U8,46.8,29.75,270.0,top
