Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_,1,10uF 50V,C1591
"C2, C3",C_0402,2,33pF,
C7,C_0603_,1,10uF 6.3V,C1691
C8,C_0402,1,1uF,
C9,C_0603_,1,100nF,
D1,SOT-363_SC-70-6,1,BAV99S,
D3,D_1206,1,D,
D5,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
J1,USC16-TR,1,USB-C,
J2,PTSM-HH-2-RA,1,POWER,
J3,PTSM-HH-8-RA,1,Conn_01x08,
J5,PTSM-HH-5-RA,1,Conn_01x05,
J6,PTSM-HH-2-RA,1,Conn_01x02,
L2,L_4x4_,1,10uH,
R1,R_0402_,1,124k,
R2,R_0402_,1,40k2,
R3,R_0402_,1,1M,
"R4, R7",R_0402,2,100R,
"R5, R6",R_0402,2,5K1,
R8,R_0402,1,10K,
U1,SOT-23-6-MD8942,1,MD8942,C2684786
"U3, U4",SO-8_3.9x4.9mm_P1.27mm,2,ISL89410,
U6,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
