Designator,Mid X,Mid Y,Rotation,Layer
C1,62.1,-63.34,0,top
C2,97.9,-37.1,90,top
C3,97.9,-39.7,270,top
C7,62.1,-65.26,0,top
C8,90.2,-36.5,90,top
C9,62.1,-67.18,0,top
D1,94.7,-39.0,0,top
D3,91.0,-48.3,90,top
D5,94.2,-34.3,225,top
J1,87.5,-56.1,0,top
J2,96.2,-53.3,0,top
J3,101.2,-42.7,90,top
J5,72.1,-53.4,90,bottom
J6,101.2,-57.1,90,top
J7,81.92,-39.65,0,top
L2,63.3,-70.7,0,top
R1,64.77,-63.29,0,top
R2,64.77,-65.13,0,top
R3,64.77,-66.97,0,top
R4,99.3,-37.08,270,top
R5,85.2,-51.3,180,top
R6,89.5,-51.3,180,top
R7,99.3,-39.75,90,top
R8,91.2,-36.5,270,top
U1,75.75,-55.6,90,top
U3,96.25,-49.5,0,top
U4,96.25,-44.0,0,top
U6,81.9,-43.0,0,top
