Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-97.0,180.0,bottom
C1,101.0,-132.0,0.0,bottom
C2,103.55,-150.8,180.0,bottom
C3,100.25,-149.55,0.0,bottom
C4,100.25,-143.3,0.0,bottom
D1,111.0,-142.5,180.0,bottom
D2,87.75,-132.0,90.0,bottom
D3,100.63,-146.42,90.0,bottom
J1,111.0,-145.35,180.0,bottom
J2,114.935,-135.5,270.0,bottom
J3,91.5,-138.5,180.0,bottom
J4,102.54,-116.6,270.0,top
J5,102.54,-129.0,270.0,top
L1,103.8,-144.8,270.0,bottom
R1,97.5,-133.675,270.0,bottom
R10,91.2,-132.0,270.0,bottom
R11,92.6,-132.0,270.0,bottom
R12,106.5,-150.5,90.0,bottom
R2,105.5,-133.0,180.0,bottom
R3,105.5,-137.75,0.0,bottom
R4,105.5,-136.0,180.0,bottom
R5,105.5,-134.75,180.0,bottom
R6,102.0,-140.5,180.0,bottom
R7,102.0,-139.0,0.0,bottom
R8,106.5,-143.0,270.0,bottom
R9,89.8,-132.0,270.0,bottom
U1,100.0,-100.0,270.0,top
U2,91.75,-146.30675,0.0,bottom
U3,101.0,-135.5,270.0,bottom
U4,103.8,-148.7,90.0,bottom
