Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0402,1,100nF,
C2,C_0402,1,1uF,
C5,C_0603_,1,10uF 35V,C194427
C6,C_0603_,1,10uF 6.3V,C1691
C7,C_0603_,1,100nF,
D1,D_1206,1,D,C143805
D2,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
"D4, D5",SOT-363_SC-70-6,2,BAV99S,
J1,PTSM-HH-2-RA,1,DC,
J2,USC16-TR,1,USB-C,C709357
J4,PTSM-HH-5-RA,1,Conn_01x05,
L2,L_4x4_,1,10uH,
Q1,SOT-23,1,CJ2301,
R12,R_0402_,1,40k2,
R13,R_0402_,1,1M,
"R2, R3",R_0402,2,5K1,
R4,R_0402,1,10K,
R8,R_0402_,1,124k,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C3013941
U4,SOT-23-6-MD8942,1,MD8942,C2684786
