Designator,Mid X,Mid Y,Rotation,Layer
C1,36.3,49.6,180.0,bottom
C5,40.5,36.7,90.0,bottom
C6,35.5,36.7,270.0,bottom
C7,38.0,36.0,180.0,bottom
D1,39.0,43.2,180.0,bottom
D3,22.7,51.2,180.0,bottom
D4,31.8,51.2,270.0,bottom
D5,36.2,51.3,270.0,bottom
J1,46.0,37.9,0.0,bottom
J2,45.6,47.2,270.0,bottom
J3,26.5,44.2,0.0,bottom
J4,35.0,53.6575,180.0,bottom
L2,38.0,33.4,180.0,bottom
PCB1,35.0,35.0,0.0,top
Q1,42.85,40.4375,270.0,bottom
R1,33.1,49.6,0.0,bottom
R12,35.7,38.8,90.0,bottom
R13,40.3,38.8,270.0,bottom
R2,39.5,49.6,0.0,bottom
R3,39.6,45.2,180.0,bottom
R4,22.7,49.4,270.0,bottom
R5,23.6,49.4,270.0,bottom
R6,37.3,45.1,0.0,bottom
R7,21.8,49.4,270.0,bottom
R8,38.0,39.9,0.0,bottom
U2,26.75,36.39325,180.0,bottom
U3,36.6,47.3,90.0,bottom
U4,38.0,38.0,0.0,bottom
V1,35.0,30.7,180.0,bottom
V2,35.0,60.895,0.0,bottom
