Designator,Mid X,Mid Y,Rotation,Layer
C2,29.0,27.225,270.0,top
C3,28.0,27.5,270.0,top
C4,28.4,24.3,90.0,top
C5,28.5,31.5,180.0,top
C6,35.5,26.185,270.0,top
C7,30.5,26.185,270.0,top
C8,33.0,26.885,180.0,top
D1,28.075,30.0,0.0,top
J1,34.0,19.0,0.0,top
J2,35.0,35.5,180.0,bottom
J3,35.0,43.25,0.0,bottom
L2,33.0,29.485,180.0,top
PCB1,35.0,35.0,0.0,top
R5,33.0,22.985,180.0,top
R6,31.2,22.985,180.0,top
R7,29.4,24.3,270.0,top
R9,34.8,22.985,180.0,top
U1,39.75,26.0,180.0,top
U3,35.0,40.0,0.0,top
U5,33.0,24.885,180.0,top
V1,35.0,48.0,0.0,top
V3,27.0,35.0,90.0,top
V4,43.0,35.0,270.0,top
V6,35.0,17.0,180.0,top
