Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,10nF,
C2,C_0603_,1,0.1uF,
C3,C_0805_,1,2.2uF,
C4,C_0805_,1,10uF,
C5,C_0603,1,100nF,
D1,LED-RGB-1.6x1.6,1,LED_RGBA,
D2,D_1206_,1,Schottky,
J1,Molex_MiniSPOX_H4V,1,Keypad,
L1,L_4x4_,1,6.8uH,
R1,R_0603,1,10K,
R2,R_0603,1,680R,
R3,R_0603,1,2K,
R4,R_0603,1,220R,
R5,R_0603,1,100k 1% or 0R,
R6,R_0603,1,30k 1% or NF,
U1,SO-8_3.9x4.9mm_P1.27mm,1,SP3485,
U2,ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,
U3,SOT-23-Thin-6-Reg,1,LMR16006+FB,
