Designator,Mid X,Mid Y,Rotation,Layer
C1,162.4,-116.7,0.0,top
C2,171.15,-108.4,0.0,top
C3,167.85,-109.65,0.0,top
C4,167.85,-115.9,0.0,top
C5,167.6,-107.1,270.0,top
D1,162.25,-107.1,90.0,top
D2,168.23,-112.78,270.0,top
J1,167.6,-121.1,0.0,top
J2,167.7,-118.5,180.0,bottom
L1,171.4,-114.4,90.0,top
R1,164.875,-116.7,180.0,top
R2,163.9,-107.1,90.0,top
R3,165.15,-107.1,90.0,top
R4,166.4,-107.1,90.0,top
R5,171.55,-106.6,0.0,top
R6,173.45,-107.4,270.0,top
U1,163.7,-112.546506,270.0,top
U2,167.6,-99.6,0.0,top
U3,171.4,-110.5,270.0,top
