Designator,Mid X,Mid Y,Rotation,Layer
C1,108.75,-50.0,0.0,top
C5,92.9,-31.7,0.0,top
C6,110.44,-55.48,90.0,top
C7,111.69,-58.78,90.0,top
C8,117.94,-58.78,90.0,top
D1,115.95,-32.3,0.0,top
D2,98.25,-49.25,90.0,top
D4,114.82,-58.4,0.0,top
J1,102.5,-56.1,0.0,top
J10,121.35,-36.5,90.0,top
J11,121.35,-29.64,90.0,top
J12,88.15,-36.5,270.0,top
J13,123.9,-39.7,90.0,bottom
J2,93.5,-53.2575,0.0,top
J3,88.15,-29.64,270.0,top
J4,88.15,-43.36,270.0,top
J5,88.15,-57.08,270.0,top
J6,88.15,-50.22,270.0,top
J7,121.35,-57.08,90.0,top
J8,121.35,-50.22,90.0,top
J9,121.35,-43.36,90.0,top
L2,116.44,-55.23,0.0,top
R1,97.25,-32.5,270.0,top
R10,115.95,-36.55,180.0,top
R13,109.485,-52.26,0.0,top
R14,109.485,-53.45,0.0,top
R2,106.0,-50.0,0.0,top
R3,108.75,-48.75,0.0,top
R4,99.8,-52.25,180.0,top
R5,105.0,-52.25,180.0,top
R6,101.8,-51.25,90.0,top
R7,103.0,-51.25,270.0,top
R8,115.95,-35.25,180.0,top
R9,115.95,-34.0,180.0,top
U1,104.75,-36.0,0.0,top
U12,112.54,-55.23,180.0,top
U2,103.75,-46.75,270.0,top
U3,93.25,-42.5,90.0,top
U4,116.25,-48.5,270.0,top
U5,93.25,-36.75,90.0,top
U6,93.25,-48.5,90.0,top
U7,116.25,-42.5,270.0,top
